Transaction Hash,Status,Type,Method ,Block,Age,From,From_NameTag,To,To_NameTag,Amount,Value (USD),Asset,Txn Fee
0xf18710500ea0318e723274fb81434aa4564321649e6bddb4321d67b318a9fb98,Success,Tx,Buy Tokens Eth,17246416,360 days ago,0x25272717eda45C6263Dc88c88F6eC9A897D6378c, ,0xd6946698AcDBb92D555Ec8CBB3Af56418f973cae, ,0.15555,$484.28,Ethereum(ETH),0.00568944
0x9286e940b399c46fac289fc696b6f896be5a6011d6cc2fe6068430f2d3840235,Success,Tx,Buy Tokens Eth,17246410,360 days ago,0xb2FEBdf7AB29d9BC5f682471a4e9b2f1eef1880F, ,0xd6946698AcDBb92D555Ec8CBB3Af56418f973cae, ,0.03,$93.40,Ethereum(ETH),0.00579263
0x66e89af81b882ddece824d6bf2233a925eaa01f61c7e1315d954a881b96a9a4f,Success,Tx,Buy Tokens Eth,17246396,360 days ago,0xeDfCCB87089f79caD6FCF7321079A6F5424D02a4, ,0xd6946698AcDBb92D555Ec8CBB3Af56418f973cae, ,1,"$3,113.35",Ethereum(ETH),0.00448919
0xda93892be22d7c68b2d11c619f51e6e29039accb361e8a18cae2044b2eb4b165,Success,Tx,Buy Tokens Eth,17246390,360 days ago,0x54CC49005f00cC2b370820363acf2fB97caB9c3F, ,0xd6946698AcDBb92D555Ec8CBB3Af56418f973cae, ,0.058,$180.57,Ethereum(ETH),0.00477624
0xebd521bcc71bfb43dc1bd79581ecdd340dcfd8980084253ef3db01e086ff711b,Success,Tx,Buy Tokens Eth,17246370,360 days ago,0x614AC9473B5A32Aa20875eDf2EDe11F334531A33, ,0xd6946698AcDBb92D555Ec8CBB3Af56418f973cae, ,0.1125,$350.25,Ethereum(ETH),0.00635017
0xd2ea21899b93e50048b1ee0613bb87edac1580c8da88b729208683d06183a2c3,Success,Tx,Buy Tokens Eth,17246364,360 days ago,0x8a33875E268436FFDA39e06608047Ac9A0F2b830, ,0xd6946698AcDBb92D555Ec8CBB3Af56418f973cae, ,0.0034,$10.59,Ethereum(ETH),0.00732601
0xfee0eaf8578e070a819050cc1f2e8cd346e95aacc1fcbdce2242fbb05c70919b,Success,Tx,Buy Tokens Eth,17246362,360 days ago,0xC16d8d028A1D229a058010BDd3b7D83B69e922A8, ,0xd6946698AcDBb92D555Ec8CBB3Af56418f973cae, ,0.57,"$1,774.61",Ethereum(ETH),0.00445933
0x2798a06c134e09cc1058d62702568dafbbcb9146ce086165ae993d0182eb1e8c,Success,Tx,Buy Tokens Eth,17246360,360 days ago,0xa6de62c98bf8560E69B8464F0ADed5319476f3F8, ,0xd6946698AcDBb92D555Ec8CBB3Af56418f973cae, ,0.214,$666.26,Ethereum(ETH),0.00458076
0xada58c0085fd19f1ecd1ed158ce3d517fa2980c830d6aace7a4068356f44abb1,Success,Tx,Buy Tokens Eth,17246339,360 days ago,0xdAc5748E20c5d9D5E88f92B71072223d2fC6841d, ,0xd6946698AcDBb92D555Ec8CBB3Af56418f973cae, ,0.03363,$104.70,Ethereum(ETH),0.00507206
0x172d7b33e66bea00a2c3aeef2c08709a4fbfd0c6e83719018bce5251330c4255,Success,Tx,Buy Tokens Eth,17246327,360 days ago,0x222A5edc9a7B03dD2149555Ca619731EC6AC9706, ,0xd6946698AcDBb92D555Ec8CBB3Af56418f973cae, ,0.027,$84.06,Ethereum(ETH),0.00556685
