Wallet, Amount
0x2dc409d7c6E6A090D02D4215231652920056014f, 33756000000000
0x4741b595AC65E9C01447F3C7d247b8483043A1DA, 411545000000000
0x3e88438C150FC4dDcF2bF83eb87082C38D69e94b, 883522000000000
0x49CCF77B19544C98e1607e02Db9BAa3f91Ee5876, 45225000000000
0x39b88EFcA89bEF954989280B18fD0D30Cfedd7b8, 344675000000000
0x8640470D90A95C25c74dB42504e51fac6F482FE0, 167112000000000
0x48F005B5dd4B401869629e68998b78f46C6262E8, 20155000000000
0x8f6441ba1378199Cfc716aEBEb4Ef187603e034D, 28470000000000
0xb87AD31edbc0bb505081A0cDA1f4D1C82e31aDD8, 298001000000000
0xe14Bad302353CD8df15F390f6E68bb59568cfeA1, 299651000000000
0xFA621cE131a5d9563B01c1E15deD80bf7011CAC8, 4428181000000000
0x5F866f5048614852fd45fB8860138D9f8c9dF846, 300112000000000
0x2a798e7608888fE445a507bD37Afd84e30341DfB, 965971000000000
0x833250512dfEc434ebd2D9D7446CD280fF652e10, 1060016000000000
0xf64b6Cf32DCA2bCE23A673eA54411c3f6B1ef757, 583132000000000
0xC4153457D5F59e751Df5F815D6eC8583F9e5869A, 871060000000000
0x562566B218f2310d9EcA74Fb5235464F7095588c, 57092000000000
0x3afCDFB155EcE0d2927083A3532babeB3EF0b839, 1265416000000000
0x55E352CFcf4AbA9a58D3171704E024Ee5c16D38D, 695523000000000
0x31D83c0582014B72627A4be5aEEbA3c050586340, 425221000000000
0x0F39bB6D959C639b3d2F78cE29fC07BdB459Cea1, 2610720000000000
0xc1b3E425D7bbb6b19E49d6fDD23B66017216488e, 119739000000000
0x858a34Aa784DA93b011f6Eb99af1D24358F1E513, 72818000000000
0x53F138c948F051A1c87e78347CA4F439b5672A65, 5212000000000
0xb3C823E98756744c30326218eb35193D41ca811d, 326887000000000
0xE0DCCA1C6971e175325B4e6e6B6AD9f199d3bcbf, 12473132000000000
0xb25108216352962FeA8700D52c0B1473C0f3Eb2f, 4999259000000000
0xc4da016DA86edDd754472661A69963A4E0718631, 610361000000000
0x78628d9028F5736014E978b9a7D226BF6559932e, 90300000000000
0x2cD0AEf4616DD00f4815ccf26c1678222dfa7a9B, 450683000000000
0x0E0B9712EdE4c5C5A453FA3a21f008d4630F7066, 22666000000000
0xEEA7d5aBf83DFEF31882402C2eb6B1a417Ab65a4, 196452000000000
0xEd7BC9fF2f9a4Fda694f18c27233A0482E898E27, 179826000000000
0xf2B3A85f86818fe9473FcEa3EADB4C7BD1C4D27d, 94592000000000
0xFB99f3FD858D89c0b2E56575Ae32F4C848157E6f, 151688000000000
0xE9aAA35BA0aDC7245fDfF0422148e93af23a0a42, 40686000000000
0x200b3E7229A87B1987c4b1062B97A4Cb93394D32, 1143827000000000
